Date;Amount;Category;Subcategory;Payment Method;Description;Ref/Check No;Payee/Payer;Status;Receipt Picture;Account;Tag;Tax;Quantity;Split Total;Row Id;Type Id
30.06.2016;-125.0;Food;;Cash;завтрак;;;Uncleared;;Personal Expense;;;1 PCS;;983;
30.06.2016;-44.0;Travel;Bus;Cash;в роев ручей;;;Uncleared;;Personal Expense;;;1 PCS;;984;
30.06.2016;-331.0;Food;;Cash;в зоопарк;;;Uncleared;;Personal Expense;;;1 PCS;;985;
30.06.2016;-418.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;986;
01.07.2016;-240.0;Travel;Taxi;Cash;такси;;;Uncleared;;Personal Expense;;;1 PCS;;987;
01.07.2016;-180.0;Entertainment;Other;Cash;мороженое и клубника;;;Uncleared;;Personal Expense;;;1 PCS;;988;
02.07.2016;-200.0;Entertainment;Other;Cash;магниты;;;Uncleared;;Personal Expense;;;1 PCS;;989;
02.07.2016;-50.0;Entertainment;Other;Cash;шишка;;;Uncleared;;Personal Expense;;;1 PCS;;990;
02.07.2016;-99.0;Shopping;Tools;Cash;контейнер с крышкой;;;Uncleared;;Personal Expense;;;1 PCS;;991;
02.07.2016;-500.0;Entertainment;Cafe;Cash;шашлык и яблочко;;;Uncleared;;Personal Expense;;;1 PCS;;992;
04.07.2016;-409.0;Entertainment;Other;Cash;игры и мороженое;;;Uncleared;;Personal Expense;;;1 PCS;;993;
04.07.2016;-34.0;Travel;Bus;Cash;в черногорске;;;Uncleared;;Personal Expense;;;1 PCS;;994;
04.07.2016;-32.0;Travel;Bus;Cash;в абакане;;;Uncleared;;Personal Expense;;;1 PCS;;995;
05.07.2016;-175.0;Entertainment;Bar;Cash;абаканское и чипсы;;;Uncleared;;Personal Expense;;;1 PCS;;996;
05.07.2016;-32.0;Travel;Bus;Cash;в абакане;;;Uncleared;;Personal Expense;;;1 PCS;;997;
05.07.2016;-23.0;Other;;Cash;распечатка билетов;;;Uncleared;;Personal Expense;;;1 PCS;;998;
05.07.2016;-100.0;Entertainment;Other;Cash;магнит;;;Uncleared;;Personal Expense;;;1 PCS;;999;
05.07.2016;-200.0;Entertainment;Movies;Cash;кино;;;Uncleared;;Personal Expense;;;1 PCS;;1000;
05.07.2016;-575.0;Entertainment;Cafe;Cash;обед в абакане;;;Uncleared;;Personal Expense;;;1 PCS;;1001;
05.07.2016;8000.0;Different resources;;Cash;от бабушки;;;Uncleared;;Personal Expense;;;1 PCS;;1002;
06.07.2016;-34.0;Travel;Bus;Cash;в черногорске;;;Uncleared;;Personal Expense;;;1 PCS;;1003;
06.07.2016;-70.0;Entertainment;Other;Cash;магнит аскиз;;;Uncleared;;Personal Expense;;;1 PCS;;1004;
06.07.2016;-80.0;Travel;Bus;Cash;в абакан;;;Uncleared;;Personal Expense;;;1 PCS;;1005;
06.07.2016;-100.0;Travel;Bus;Cash;в москву;;;Uncleared;;Personal Expense;;;1 PCS;;1006;
06.07.2016;-440.0;Travel;Bus;Cash;в пущино;;;Uncleared;;Personal Expense;;;1 PCS;;1007;
06.07.2016;3000.0;Advance payment;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1008;
06.07.2016;-175.0;Food;;Cash;сыр и творог;;;Uncleared;;Personal Expense;;;1 PCS;;1009;
06.07.2016;-158.0;Health Care;Medical;Cash;полоски на нос;;;Uncleared;;Personal Expense;;;1 PCS;;1010;
06.07.2016;-605.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1011;
06.07.2016;-605.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1012;
06.07.2016;-62.0;Health Care;Medical;Cash;ринонорм;;;Uncleared;;Personal Expense;;;1 PCS;;1013;
07.07.2016;-2518.0;Household;Communal payment;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1014;
07.07.2016;-1200.0;Sport;Bicycle;Cash;покрышки;;;Uncleared;;Personal Expense;;;1 PCS;;1015;
08.07.2016;-86.0;Shopping;Cleaning products;Cash;растворитель;;;Uncleared;;Personal Expense;;;1 PCS;;1016;
08.07.2016;-514.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1017;
08.07.2016;-120.0;Food;;Cash;перец;;;Uncleared;;Personal Expense;;;1 PCS;;1018;
09.07.2016;1500.0;Excursion;;Cash;вокруг света;;;Uncleared;;Personal Expense;;;1 PCS;;1019;
09.07.2016;-317.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1020;
09.07.2016;-187.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1021;
10.07.2016;-440.0;Travel;Bus;Cash;в москву;;;Uncleared;;Personal Expense;;;1 PCS;;1022;
10.07.2016;-100.0;Travel;Underground;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;1023;
11.07.2016;6000.0;Grands;;Cash;Самодуров;;;Uncleared;;Personal Expense;;;1 PCS;;1024;
11.07.2016;-350.0;Entertainment;Bar;Cash;пиво;;;Uncleared;;Personal Expense;;;1 PCS;;1025;
12.07.2016;-573.0;Entertainment;Other;Cash;торт;;;Uncleared;;Personal Expense;;;1 PCS;;1026;
12.07.2016;-300.0;Shopping;Other;Cash;цветок;;;Uncleared;;Personal Expense;;;1 PCS;;1027;
12.07.2016;2000.0;Excursion;;Cash;слон и жираф;;;Uncleared;;Personal Expense;;;1 PCS;;1028;
13.07.2016;-165.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1029;
15.07.2016;-236.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1030;
15.07.2016;-182.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1031;
15.07.2016;-260.0;Food;;Cash;чай и вино;;;Uncleared;;Personal Expense;;;1 PCS;;1032;
15.07.2016;-498.0;Food;;Cash;колбаса и сыр;;;Uncleared;;Personal Expense;;;1 PCS;;1033;
16.07.2016;-135.0;Shopping;Tools;Cash;кисть наждак;;;Uncleared;;Personal Expense;;;1 PCS;;1034;
16.07.2016;-434.0;Shopping;Tools;Cash;уайт спирит, термоклей,;;;Uncleared;;Personal Expense;;;1 PCS;;1035;
19.07.2016;-220.0;Entertainment;Other;Cash;фанта мороженое;;;Uncleared;;Personal Expense;;;1 PCS;;1036;
20.07.2016;6680.0;Scholarship;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1037;
20.07.2016;-449.0;Entertainment;Other;Cash;семечки газировка;;;Uncleared;;Personal Expense;;;1 PCS;;1038;
21.07.2016;-435.0;Health Care;Medical;Cash;алезан мазь;;;Uncleared;;Personal Expense;;;1 PCS;;1039;
21.07.2016;-339.0;Health Care;Medical;Cash;капсикам;;;Uncleared;;Personal Expense;;;1 PCS;;1040;
23.07.2016;-140.0;Shopping;Devices;Cash;батарейки;;;Uncleared;;Personal Expense;;;1 PCS;;1041;
23.07.2016;-315.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1042;
23.07.2016;-755.0;Food;;Cash;мясо;;;Uncleared;;Personal Expense;;;1 PCS;;1043;
25.07.2016;2500.0;Excursion;;Cash;английский лагерь;;;Uncleared;;Personal Expense;;;1 PCS;;1044;
27.07.2016;-100.0;Utilities;Phone;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1045;
27.07.2016;-594.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1046;
28.07.2016;2136.0;Salary;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1047;
30.07.2016;-123.0;Other;;Cash;ручки;;;Uncleared;;Personal Expense;;;1 PCS;;1048;
31.07.2016;-578.0;Entertainment;Other;Cash;сыр к луку;;;Uncleared;;Personal Expense;;;1 PCS;;1049;
31.07.2016;-158.0;Entertainment;Other;Cash;куриные крылья;;;Uncleared;;Personal Expense;;;1 PCS;;1050;
01.08.2016;-100.0;Utilities;Phone;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1051;
01.08.2016;-154.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1052;
01.08.2016;-639.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1053;
02.08.2016;-600.0;Other;;Cash;стрижка;;;Uncleared;;Personal Expense;;;1 PCS;;1054;
02.08.2016;-369.0;Food;;Cash;арбуз конфеты;;;Uncleared;;Personal Expense;;;1 PCS;;1055;
03.08.2016;1800.0;Different resources;;Cash;слон и жираф;;;Uncleared;;Personal Expense;;;1 PCS;;1056;
03.08.2016;-255.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1057;
03.08.2016;-110.0;Shopping;Other;Cash;клей;;;Uncleared;;Personal Expense;;;1 PCS;;1058;
04.08.2016;17800.0;Different resources;;Cash;астрономическая школа слон и жираф;;;Uncleared;;Personal Expense;;;1 PCS;;1059;
05.08.2016;-240.0;Entertainment;Bar;Cash;пиво;;;Uncleared;;Personal Expense;;;1 PCS;;1060;
05.08.2016;-181.0;Entertainment;Bar;Cash;чипсы;;;Uncleared;;Personal Expense;;;1 PCS;;1061;
05.08.2016;-36.0;Food;;Cash;хлеб;;;Uncleared;;Personal Expense;;;1 PCS;;1062;
05.08.2016;-133.0;Entertainment;Bar;Cash;косичка;;;Uncleared;;Personal Expense;;;1 PCS;;1063;
05.08.2016;-320.0;Entertainment;Bar;Cash;пиво;;;Uncleared;;Personal Expense;;;1 PCS;;1064;
06.08.2016;3000.0;Advance payment;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1065;
07.08.2016;-73.0;Entertainment;Bar;Cash;чипсы;;;Uncleared;;Personal Expense;;;1 PCS;;1066;
07.08.2016;-306.0;Health Care;Other;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;1067;
08.08.2016;-158.0;Travel;Bus;Cash;в Серпухов;;;Uncleared;;Personal Expense;;;1 PCS;;1068;
